epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,10092.7,0.35788,0.24804,0.82219,0.91063,0.80786,0.8697,0.56182,1.15326,0.70868,1.28716,0.0042085,0.0042085,0.0042085
119,10359.7,0.3557,0.2503,0.82147,0.91772,0.83062,0.8768,0.56223,1.14552,0.70921,1.28369,0.004159,0.004159,0.004159
120,10627,0.34854,0.24405,0.81897,0.91642,0.82408,0.87987,0.55933,1.14391,0.71177,1.28549,0.0041095,0.0041095,0.0041095
121,321.049,0.29543,0.21715,0.80359,0.8947,0.80901,0.87083,0.5584,1.14242,0.7491,1.28891,0.00406,0.00406,0.00406
122,556.301,0.3384,0.23935,0.81469,0.93404,0.79417,0.86433,0.5505,1.14325,0.76862,1.28353,0.0040105,0.0040105,0.0040105
123,815.045,0.34474,0.24345,0.81795,0.92748,0.82047,0.87481,0.55591,1.13997,0.75825,1.28753,0.003961,0.003961,0.003961
124,1069.24,0.34424,0.24417,0.81682,0.92204,0.82894,0.87277,0.55833,1.14036,0.74627,1.29228,0.0039115,0.0039115,0.0039115
125,1323.31,0.33628,0.23844,0.81497,0.91691,0.82796,0.87072,0.55244,1.13949,0.73771,1.29437,0.003862,0.003862,0.003862
126,1580.85,0.33647,0.2397,0.81538,0.93454,0.82268,0.87094,0.55776,1.1419,0.73871,1.29845,0.0038125,0.0038125,0.0038125
127,1837.85,0.33237,0.23718,0.81335,0.92797,0.83532,0.86284,0.55116,1.14015,0.73605,1.30054,0.003763,0.003763,0.003763
128,2091.47,0.33176,0.23779,0.81262,0.92344,0.83871,0.86281,0.54711,1.13959,0.72693,1.30066,0.0037135,0.0037135,0.0037135
129,2345.49,0.32917,0.23645,0.812,0.91705,0.84067,0.86225,0.54832,1.14109,0.72523,1.30587,0.003664,0.003664,0.003664
130,2599.43,0.32648,0.23569,0.81191,0.86471,0.82973,0.84451,0.53978,1.14229,0.71794,1.30735,0.0036145,0.0036145,0.0036145
131,2856.32,0.32125,0.23259,0.80989,0.8851,0.83443,0.86277,0.55236,1.13954,0.71666,1.29938,0.003565,0.003565,0.003565
132,3109.8,0.32516,0.23428,0.81097,0.92197,0.84436,0.86111,0.5447,1.13806,0.72215,1.29802,0.0035155,0.0035155,0.0035155
133,3363.69,0.32273,0.23178,0.81048,0.91768,0.83847,0.86094,0.54423,1.13711,0.72333,1.29691,0.003466,0.003466,0.003466
134,3617.24,0.31836,0.22881,0.80869,0.90935,0.84354,0.85748,0.54403,1.14011,0.73104,1.29753,0.0034165,0.0034165,0.0034165
135,3872.75,0.31358,0.22626,0.80775,0.90284,0.84207,0.86147,0.54616,1.14213,0.73577,1.29693,0.003367,0.003367,0.003367
136,4138.68,0.31182,0.2242,0.80687,0.91472,0.8291,0.85931,0.54672,1.13886,0.72989,1.29434,0.0033175,0.0033175,0.0033175
137,4403.96,0.30669,0.22259,0.80446,0.9105,0.8351,0.85946,0.54752,1.13734,0.72924,1.29403,0.003268,0.003268,0.003268
138,4665.12,0.30236,0.21956,0.80333,0.88501,0.8435,0.8607,0.54487,1.13948,0.73825,1.29337,0.0032185,0.0032185,0.0032185
139,4921.37,0.30158,0.22094,0.80324,0.8626,0.83346,0.84589,0.54222,1.14083,0.73562,1.29468,0.003169,0.003169,0.003169
140,5182.98,0.30076,0.2189,0.80246,0.86635,0.83628,0.85132,0.54978,1.13955,0.73987,1.2932,0.0031195,0.0031195,0.0031195
141,5440.12,0.29863,0.21971,0.8023,0.86406,0.82908,0.85381,0.54921,1.14145,0.74015,1.2931,0.00307,0.00307,0.00307
142,5700.8,0.29102,0.21444,0.80076,0.86983,0.82943,0.8538,0.54963,1.14389,0.73655,1.29294,0.0030205,0.0030205,0.0030205
143,5957.59,0.28929,0.21348,0.80005,0.87456,0.80585,0.84672,0.54636,1.14486,0.73947,1.29378,0.002971,0.002971,0.002971
144,6215.49,0.2907,0.21255,0.79903,0.87425,0.79902,0.84373,0.54254,1.14258,0.74322,1.29211,0.0029215,0.0029215,0.0029215
145,6472.42,0.28548,0.20976,0.79807,0.86908,0.79129,0.84699,0.54867,1.14139,0.74069,1.29215,0.002872,0.002872,0.002872
146,6730.14,0.28237,0.20896,0.79772,0.88059,0.80637,0.85019,0.55172,1.13992,0.74108,1.29144,0.0028225,0.0028225,0.0028225
147,6990.57,0.27824,0.20692,0.79651,0.88772,0.80741,0.84661,0.55009,1.14358,0.73497,1.29569,0.002773,0.002773,0.002773
148,7247.42,0.27265,0.20291,0.79474,0.88604,0.80804,0.85101,0.55069,1.14305,0.73131,1.29628,0.0027235,0.0027235,0.0027235
149,7506.51,0.27525,0.20421,0.79539,0.84183,0.80702,0.84536,0.54766,1.14294,0.73106,1.29582,0.002674,0.002674,0.002674
150,7763.14,0.26768,0.20227,0.7931,0.84633,0.81103,0.84274,0.54522,1.14272,0.73128,1.29593,0.0026245,0.0026245,0.0026245
151,8023.53,0.26706,0.20134,0.79207,0.85181,0.81086,0.84193,0.54687,1.14443,0.73718,1.2984,0.002575,0.002575,0.002575
